id,listingID,erc1155TypeId,priceInWei,quantity,timeLastPurchased
137504_0x77f9e6516d6f677d6e30fd165afcf3a802d33006_1630503508,137504,134,9000000000000000000,1,1630503508
137504_0xb006350d11a637378aab6a785a2fbc0ee3469f93_1630489751,137504,134,9000000000000000000,1,1630489751
137781_0x0a9a893ed9e173b3298c8022e959ec6691673145_1632433956,137781,96,58000000000000000000,1,1632433956
137786_0x1f815b5eb8a92a4894edfb7f64fc758f21085dab_1632034063,137786,96,57800000000000000000,1,1632034063
138279_0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb_1631618603,138279,40,107000000000000000000,1,1631618603
138279_0x8af4277c5e84158494e2ee4cdef463f87abdae4c_1632238071,138279,40,107000000000000000000,2,1632238071
138279_0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0_1631642176,138279,40,107000000000000000000,1,1631642176
138302_0x4678cb6580b20bd4340fb5269e91af3e921180d8_1631197601,138302,40,106500000000000000000,1,1631197601
138412_0x89584a65dfaa7e4949f5495191f3806c3589f10c_1632900421,138412,150,5399000000000000000000,1,1632900421
138574_0xa7f1c77998bae58614be010ad2a806639e280056_1632830807,138574,6,93500000000000000000,1,1632830807
139087_0xa7f1c77998bae58614be010ad2a806639e280056_1630924058,139087,134,10000000000000000000,1,1630924058
139193_0x636db7553dfb9c87dce1a5edf117edcaff1b650a_1632999659,139193,8,115000000000000000000,1,1632999659
139193_0x6a0132b33eb56f760d705a0fa947267304551719_1631770711,139193,8,115000000000000000000,1,1631770711
139193_0x6bfebd0ba926786b6419e9d22125cfef3b44eee1_1630597032,139193,8,115000000000000000000,1,1630597032
139193_0x7909759b82eb27ab3cc886c5f3fce3a72a565b39_1630804218,139193,8,115000000000000000000,1,1630804218
139193_0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1_1631454776,139193,8,115000000000000000000,1,1631454776
139193_0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1_1631455716,139193,8,115000000000000000000,1,1631455716
139193_0xcbd16aa19e13932848d52da55a0b62cab5056ae6_1631819629,139193,8,115000000000000000000,1,1631819629
139193_0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec_1632992399,139193,8,115000000000000000000,1,1632992399
139193_0xeda29227543b2bc0d8e4a5220ef0a34868033a2d_1630786403,139193,8,115000000000000000000,1,1630786403
139193_0xf24f0a86e0b8367bf065471bbdc89008f0087fd3_1632779072,139193,8,115000000000000000000,1,1632779072
139542_0xa67868fb4f9828d046490dfc6ffb36a1e7651a55_1630997556,139542,40,101000000000000000000,1,1630997556
139598_0x29746c9d6b317c6df26ac1751d6cb03a55c1b8d5_1630491239,139598,154,2750000000000000000000,1,1630491239
139599_0xea651e5b72751f1d2e36255f5f59792c84cd856f_1632116789,139599,27,940000000000000000000,1,1632116789
139623_0x18932848b2f9b14b70972a1400133d1ed6342114_1632824601,139623,130,47000000000000000000,1,1632824601
140420_0x34b121b6358e595946db584051c94aff4ccc6926_1631466360,140420,102,680000000000000000000,1,1631466360
140664_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1631004534,140664,82,1050000000000000000000,1,1631004534
140671_0x830437c8d234c61ae6bffbc11f2b885e6e934554_1631428307,140671,59,100000000000000000000,1,1631428307
141028_0x300010ded7b789ab5764bb52dde82edd6d29908d_1630815376,141028,123,45000000000000000000,1,1630815376
141034_0xa7f1c77998bae58614be010ad2a806639e280056_1630923902,141034,134,9000000000000000000,1,1630923902
141034_0xa7f1c77998bae58614be010ad2a806639e280056_1630923948,141034,134,9000000000000000000,1,1630923948
141038_0xeda29227543b2bc0d8e4a5220ef0a34868033a2d_1630784510,141038,91,17950000000000000000,1,1630784510
141102_0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f_1632824657,141102,130,50000000000000000000,1,1632824657
141175_0xca247f64ed79b76b2555971b9eea802c68d1db2b_1632198197,141175,26,450000000000000000000,1,1632198197
141325_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1630950848,141325,204,34000000000000000000,1,1630950848
141483_0x29746c9d6b317c6df26ac1751d6cb03a55c1b8d5_1630489845,141483,124,6000000000000000000000,1,1630489845
141504_0xba27836e614adb66d666171e8f2820badba09e57_1631318317,141504,91,18000000000000000000,1,1631318317
142030_0xd040fc702ff3b904890bcd777530175384416896_1632822797,142030,68,8990000000000000000,1,1632822797
142236_0xd040fc702ff3b904890bcd777530175384416896_1632998610,142236,68,12990000000000000000,1,1632998610
142255_0xa7f1c77998bae58614be010ad2a806639e280056_1630923994,142255,134,9300000000000000000,10,1630923994
142259_0x852271883ed42cc3f9d9559b05ab4784fc768e93_1632926282,142259,68,11000000000000000000,4,1632926282
142267_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1631201232,142267,69,19000000000000000000,1,1631201232
142459_0x5f7facc66823b0accb37beba6e536c0b5459ae02_1630531176,142459,204,32900000000000000000,1,1630531176
142463_0xadc045001169071580ad97af8cf5efb7f235a719_1632830644,142463,6,92500000000000000000,1,1632830644
142507_0x5551fa79f15ca4592a3950372fd3d4ee8be7b5cc_1630536675,142507,158,195000000000000000000,1,1630536675
142534_0xd040fc702ff3b904890bcd777530175384416896_1632822827,142534,68,9000000000000000000,1,1632822827
142603_0x47ea0ab486f9d00f16d9f248e3388586e061f7f8_1630634911,142603,151,96690000000000000000,1,1630634911
142618_0x29746c9d6b317c6df26ac1751d6cb03a55c1b8d5_1630477600,142618,86,8200000000000000000000,1,1630477600
142646_0xcbf7d1c2012629e4689f6c2ca10c4e3a7ce1a75c_1632778632,142646,95,19000000000000000000,1,1632778632
142650_0xdaaf88a9bec5e584329e4954bf72e7909f3a71e9_1630684978,142650,68,9000000000000000000,1,1630684978
142713_0x5f2b6648a7b62bea1b4bc31edc318365fa7bb0ff_1632824550,142713,130,44900000000000000000,1,1632824550
142750_0xea651e5b72751f1d2e36255f5f59792c84cd856f_1632196970,142750,85,599000000000000000000,1,1632196970
142763_0xb4a97595ad4f5535830d1f1d979cf0aec2ec27f6_1632829662,142763,68,10000000000000000000,1,1632829662
142764_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1631201294,142764,69,20000000000000000000,1,1631201294
142765_0xa7f1c77998bae58614be010ad2a806639e280056_1632830879,142765,64,40000000000000000000,1,1632830879
142767_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1630475730,142767,82,899000000000000000000,1,1630475730
142863_0x768c545669e6821e059473ffca7912d291078cfe_1630487261,142863,69,18000000000000000000,1,1630487261
142999_0x852271883ed42cc3f9d9559b05ab4784fc768e93_1632962151,142999,109,20000000000000000000,1,1632962151
143000_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1631022505,143000,95,15000000000000000000,1,1631022505
143004_0xb4a97595ad4f5535830d1f1d979cf0aec2ec27f6_1632829536,143004,68,10000000000000000000,1,1632829536
143006_0xa915023b3ed1e00e078789e63de079b4d6dcc348_1631591318,143006,91,20000000000000000000,1,1631591318
143012_0xa7f1c77998bae58614be010ad2a806639e280056_1631037624,143012,139,100000000000000000000,1,1631037624
143031_0x6bfebd0ba926786b6419e9d22125cfef3b44eee1_1630597104,143031,136,100000000000000000000,1,1630597104
143032_0xa7f1c77998bae58614be010ad2a806639e280056_1630924112,143032,134,10000000000000000000,1,1630924112
143054_0xd32f222283d295f93664b11faac967e6826b635f_1633011836,143054,108,19900000000000000000,1,1633011836
143058_0x324fbd9536bf3d77d36137310fd4abe5130dfea9_1631703201,143058,96,57000000000000000000,1,1631703201
143062_0x501ffc7ee44f7986c24fb5bf7c04c1ed6377ec87_1630525276,143062,91,17000000000000000000,1,1630525276
143063_0x9ded7b691962446704c7bd7d0dfb1f028a2a52f1_1632828928,143063,64,39900000000000000000,1,1632828928
143233_0xa7f1c77998bae58614be010ad2a806639e280056_1630923930,143233,134,9000000000000000000,1,1630923930
143286_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1631201180,143286,69,18000000000000000000,1,1631201180
143286_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1631201200,143286,69,18000000000000000000,1,1631201200
143294_0x4572192ed1dee5fd0f8f07269be4ef3e3e270715_1632212326,143294,78,24000000000000000000,1,1632212326
143348_0x4572192ed1dee5fd0f8f07269be4ef3e3e270715_1630651398,143348,140,27950000000000000000,1,1630651398
143349_0x34b121b6358e595946db584051c94aff4ccc6926_1630707778,143349,141,39950000000000000000,1,1630707778
143493_0x636db7553dfb9c87dce1a5edf117edcaff1b650a_1630502102,143493,100,595000000000000000000,1,1630502102
143497_0x5f2b6648a7b62bea1b4bc31edc318365fa7bb0ff_1632824554,143497,130,45000000000000000000,1,1632824554
143745_0xc99df6b7a5130dce61ba98614a2457daa8d92d1c_1632827470,143745,64,32880000000000000000,1,1632827470
143864_0xc99df6b7a5130dce61ba98614a2457daa8d92d1c_1632827490,143864,64,35000000000000000000,1,1632827490
144104_0xcded41aed0080ff9a36e23864ca8161385ef5107_1630483059,144104,29,1199000000000000000000,1,1630483059
144472_0x47ea0ab486f9d00f16d9f248e3388586e061f7f8_1632895791,144472,147,23800000000000000000,1,1632895791
144645_0xc99df6b7a5130dce61ba98614a2457daa8d92d1c_1632827458,144645,64,30000000000000000000,1,1632827458
144772_0x1a8d886d3a4a2d2aeb817ebb781f0683351538b1_1630950766,144772,204,33000000000000000000,1,1630950766
144857_0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec_1632773550,144857,51,9999000000000000000000,1,1632773550
144930_0xb2ff18975af49c522a410a75565bd475f4bac00f_1632967062,144930,79,349990000000000000000,1,1632967062
144944_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1630476882,144944,61,770000000000000000000,1,1630476882
145220_0x830437c8d234c61ae6bffbc11f2b885e6e934554_1631427891,145220,59,95000000000000000000,1,1631427891
145223_0x1e9fb5428855064b5c38e3ae96cc9878c573ed53_1630685028,145223,57,300000000000000000000,1,1630685028
145393_0x81fb5cc510963ff609d6e3577477a39c823e9282_1630623712,145393,117,44000000000000000000,1,1630623712
145505_0x8af4277c5e84158494e2ee4cdef463f87abdae4c_1631529231,145505,130,33950000000000000000,2,1631529231
145647_0xeb3009d9a216bce0991f1a511756de080a064a39_1631370378,145647,148,183000000000000000000,1,1631370378
145676_0xc99df6b7a5130dce61ba98614a2457daa8d92d1c_1632833016,145676,104,999000000000000000000,1,1632833016
145898_0xc99df6b7a5130dce61ba98614a2457daa8d92d1c_1632827376,145898,64,29900000000000000000,1,1632827376
145899_0xbdc7a955505e20410061744f556f6dec761bfb8f_1631067485,145899,148,182900000000000000000,1,1631067485
146007_0x52fcda4f61108b4e918baba6b671e61c774eaead_1631659125,146007,147,23700000000000000000,1,1631659125
146009_0x47ea0ab486f9d00f16d9f248e3388586e061f7f8_1630709226,146009,148,182800000000000000000,1,1630709226
146075_0xea651e5b72751f1d2e36255f5f59792c84cd856f_1632710003,146075,150,5300000000000000000000,1,1632710003
146431_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1631450260,146431,84,680000000000000000000,1,1631450260
146450_0xc99df6b7a5130dce61ba98614a2457daa8d92d1c_1632827346,146450,64,28000000000000000000,1,1632827346
146490_0x77427023e70cafd983dabaf3488d8d83ecb15b96_1631117030,146490,95,15000000000000000000,1,1631117030
146490_0x95ac8d067e3501063fa95f17758da79d4caac37f_1630473236,146490,95,15000000000000000000,1,1630473236
146690_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632792926,146690,79,299990000000000000000,1,1632792926
146698_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632786264,146698,158,299990000000000000000,1,1632786264
146702_0xadc045001169071580ad97af8cf5efb7f235a719_1632831992,146702,148,299990000000000000000,1,1632831992
14681_0x6701dc817396c99e40e31f2724ea966e2832492c_1633041972,14681,95,30000000000000000000,1,1633041972
146855_0x9f533eec49dc2dbbf495f1cd687c2536d424be07_1630481485,146855,57,270000000000000000000,1,1630481485
147115_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1630487461,147115,101,535000000000000000000,1,1630487461
147177_0xb4a97595ad4f5535830d1f1d979cf0aec2ec27f6_1632826023,147177,137,24000000000000000000,1,1632826023
147434_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632793154,147434,116,300000000000000000000,1,1632793154
147623_0xa7f1c77998bae58614be010ad2a806639e280056_1630924094,147623,134,10000000000000000000,1,1630924094
147656_0xf6ed8b6790d5eee91facf2d317941938439159d4_1632256572,147656,56,93000000000000000000,1,1632256572
147657_0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb_1631092728,147657,59,92000000000000000000,1,1631092728
147717_0xc99df6b7a5130dce61ba98614a2457daa8d92d1c_1632827310,147717,64,27000000000000000000,1,1632827310
147719_0xa67868fb4f9828d046490dfc6ffb36a1e7651a55_1630998622,147719,147,21000000000000000000,1,1630998622
147962_0x9a4b0da9e8e5c7135cd7188bd2e84dac513c594b_1631367480,147962,80,187600000000000000000,1,1631367480
148019_0x5e8256a68e28655d9b421e94a0df3c292b6248bd_1631192149,148019,38,15000000000000000000,1,1631192149
148031_0x7e9607e65b6402992524e2a1ff8fac63f406e4f0_1631218952,148031,147,21000000000000000000,1,1631218952
148031_0x830437c8d234c61ae6bffbc11f2b885e6e934554_1631460928,148031,147,21000000000000000000,2,1631460928
148186_0x8af4277c5e84158494e2ee4cdef463f87abdae4c_1631529213,148186,130,30000000000000000000,1,1631529213
148376_0xc99df6b7a5130dce61ba98614a2457daa8d92d1c_1632826678,148376,64,26900000000000000000,1,1632826678
148527_0xed3bbbe2e3eace311a94b059508bbdda9149ab23_1632790022,148527,71,998000000000000000000,1,1632790022
148585_0xa7f1c77998bae58614be010ad2a806639e280056_1630675938,148585,39,35000000000000000000,1,1630675938
148779_0x47ab904f34fbe517e8032de5e86ce8708369a72d_1631288016,148779,87,22000000000000000000,1,1631288016
149056_0xa7f1c77998bae58614be010ad2a806639e280056_1630676952,149056,136,119000000000000000000,2,1630676952
149057_0xa7f1c77998bae58614be010ad2a806639e280056_1631037696,149057,139,118000000000000000000,1,1631037696
149059_0xf667db9883f7bcad47c56e25816460811f59912f_1633000093,149059,200,18500000000000000000,5,1633000093
